Date,Pre/Post,Plot,Qdrt,Treatment,Group,Species,Coef,"Native (N) or 
 Non (NN)",Cover
3/10/2022,Pre,0,1,Control,SHRU,DEDURE,0,NN,3
3/10/2022,Pre,0,1,Control,NONE,BARSOI,0,ND,3
3/10/2022,Pre,0,1,Control,SHRU,URELOB,0,NN,3
3/10/2022,Pre,0,1,Control,VINE,RUBSPP,3,NV,3
3/10/2022,Pre,0,1,Control,GRAS,SETPAR,3,NV,1
3/10/2022,Pre,0,1,Control,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,0,1,Control,SHRU,CEASER,0,NN,4
3/10/2022,Pre,0,2,Control,SHRU,DEDURE,0,NN,6
3/10/2022,Pre,0,2,Control,SHRU,CEASER,0,NN,7
3/10/2022,Pre,0,2,Control,SHRU,URELOB,0,NN,3
3/10/2022,Pre,0,2,Control,VINE,RUBSPP,3,NV,2
3/10/2022,Pre,0,2,Control,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,0,2,Control,GRAS,ANDGLO,2,NV,1
3/10/2022,Pre,0,2,Control,FORB,OXASPP,0,ND,1
3/10/2022,Pre,0,2,Control,GRAS,SETPAR,3,NV,1
3/10/2022,Pre,0,3,Control,SHRU,CEASER,0,NN,6
3/10/2022,Pre,0,3,Control,SHRU,DEDURE,0,NN,5
3/10/2022,Pre,0,3,Control,SHRU,URELOB,0,NN,3
3/10/2022,Pre,0,3,Control,VINE,RUBSPP,3,NV,3
3/10/2022,Pre,0,3,Control,GRAS,ANDGLO,2,NV,2
3/10/2022,Pre,0,3,Control,NONE,BARSOI,0,ND,1
3/10/2022,Pre,0,3,Control,FORB,OENSIM,1,NV,1
3/10/2022,Pre,0,3,Control,GRAS,SETPAR,3,NV,1
3/10/2022,Pre,0,3,Control,FORB,OXASPP,0,ND,1
3/10/2022,Pre,0,3,Control,GRAS,UROMAX,0,NN,1
3/10/2022,Pre,0,3,Control,NONE,UNKDIC,0,ND,1
3/10/2022,Pre,1,1,Herbicide,SHRU,CEASER,0,NN,3
3/10/2022,Pre,1,1,Herbicide,FORB,BIDALB,0,NV,4
