Date,Plot,Qdrt,Treatment,Group,Cover,Species,"Native (N) or 
 Non (NN)",Coef
3/10/2022,0,1,Baseline,SHRU,3,DEDURE,NN,0
3/10/2022,0,1,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,0,1,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,0,1,Baseline,VINE,3,RUBSPP,NV,3
3/10/2022,0,1,Baseline,GRAS,1,SETPAR,NV,3
3/10/2022,0,1,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,0,2,Baseline,SHRU,6,DEDURE,NN,0
3/10/2022,0,2,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,0,2,Baseline,VINE,2,RUBSPP,NV,3
3/10/2022,0,2,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,0,2,Baseline,GRAS,1,ANDGLO,NV,2
3/10/2022,0,2,Baseline,FORB,1,OXASPP,ND,0
3/10/2022,0,2,Baseline,GRAS,1,SETPAR,NV,3
3/10/2022,0,3,Baseline,SHRU,5,DEDURE,NN,0
3/10/2022,0,3,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,0,3,Baseline,VINE,3,RUBSPP,NV,3
3/10/2022,0,3,Baseline,GRAS,2,ANDGLO,NV,2
3/10/2022,0,3,Baseline,NONE,1,BARSOI,ND,0
3/10/2022,0,3,Baseline,FORB,1,OENSIM,NV,1
3/10/2022,0,3,Baseline,GRAS,1,SETPAR,NV,3
3/10/2022,0,3,Baseline,FORB,1,OXASPP,ND,0
3/10/2022,0,3,Baseline,GRAS,1,UROMAX,NN,0
3/10/2022,0,3,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,1,1,Baseline,FORB,4,BIDALB,NV,0
3/10/2022,1,1,Baseline,GRAS,3,ANDGLO,NV,2
3/10/2022,1,1,Baseline,SHRU,3,DEDURE,NN,0
3/10/2022,1,1,Baseline,VINE,2,AMPARB,NV,4
3/10/2022,1,1,Baseline,NONE,2,BARSOI,ND,0
3/10/2022,1,2,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,1,2,Baseline,NONE,4,BARSOI,ND,0
3/10/2022,1,2,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,1,2,Baseline,SHRU,2,URELOB,NN,0
3/10/2022,1,2,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,1,3,Baseline,SHRU,5,DEDURE,NN,0
3/10/2022,1,3,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,1,3,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,1,3,Baseline,TREE,2,SABPAL,NV,2
3/10/2022,1,3,Baseline,SHRU,2,URELOB,NN,0
3/10/2022,1,4,Baseline,SHRU,5,DEDURE,NN,0
3/10/2022,1,4,Baseline,FORB,4,BIDALB,NV,0
3/10/2022,1,4,Baseline,SHRU,2,URELOB,NN,0
3/10/2022,1,4,Baseline,NONE,2,BARSOI,ND,0
3/10/2022,1,5,Baseline,SHRU,5,DEDURE,NN,0
3/10/2022,1,5,Baseline,SHRU,3,URELOB,NN,0
3/10/2022,1,5,Baseline,NONE,3,BARSOI,ND,0
3/10/2022,1,5,Baseline,VINE,2,RUBSPP,NV,3
3/10/2022,1,5,Baseline,GRAS,2,UROMAX,NN,0
3/10/2022,1,5,Baseline,FORB,1,MALCOR,NV,1
3/10/2022,1,5,Baseline,FORB,1,AMBART,NV,0
3/10/2022,1,5,Baseline,FORB,1,OXASPP,ND,0
3/10/2022,1,5,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,1,5,Baseline,NONE,1,UNKDIC,ND,0
3/10/2022,1,5,Baseline,SEDG,1,CYPSPP,ND,0
3/10/2022,2,1,Baseline,FORB,4,BIDALB,NV,0
3/10/2022,2,1,Baseline,SHRU,3,DEDURE,NN,0
3/10/2022,2,1,Baseline,NONE,2,BARSOI,ND,0
3/10/2022,2,1,Baseline,SHRU,2,URELOB,NN,0
3/10/2022,2,2,Baseline,SHRU,4,DEDURE,NN,0
3/10/2022,2,2,Baseline,FORB,3,BIDALB,NV,0
3/10/2022,2,2,Baseline,NONE,2,BARSOI,ND,0
3/10/2022,2,2,Baseline,SHRU,2,URELOB,NN,0
3/10/2022,2,2,Baseline,TREE,1,SABPAL,NV,2
